,TXT_01,TXT_02,TXT_03,TXT_04,TXT_05,TXT_06,TXT_07,TXT_08,TXT_09,TXT_10,TXT_11,TXT_12,TXT_13,TXT_14,TXT_15
T01,0.24360311,0.1988907,0.2221047,0.15388754,0.19990902,0.2081281,0.22442584,0.20494458,0.16848566,0.22079757,0.19956008,0.11801948,0.23036858,0.1877031,0.21066579
T02,0.21807225,0.19715613,0.22939649,0.12959564,0.18615088,0.19215858,0.21360406,0.19463217,0.1606905,0.21502396,0.20014402,0.11072073,0.21231495,0.18788625,0.16745114
T03,0.20045097,0.17306204,0.21754526,0.19050458,0.19381857,0.22903843,0.2158841,0.19765122,0.19503781,0.2231294,0.19680195,0.17593835,0.2492955,0.20042653,0.21175465
T04,0.1756673,0.17649914,0.22737588,0.20099637,0.18335569,0.21644317,0.19831985,0.18398297,0.21606559,0.22260833,0.18069467,0.14290649,0.2533554,0.20709024,0.15281087
T05,0.1991706,0.18131337,0.2736212,0.2073761,0.22050354,0.2311955,0.2585175,0.2309883,0.22599852,0.25801438,0.21667968,0.1281955,0.22165674,0.20710745,0.14896178
T06,0.2379796,0.2095581,0.23717953,0.1945536,0.22980064,0.2719609,0.24927886,0.22479407,0.20500359,0.2464563,0.22043571,0.18984625,0.2543409,0.19648091,0.2490583
T07,0.20507906,0.18356189,0.2530821,0.17478819,0.21420887,0.20441931,0.24976802,0.21301496,0.20458007,0.22696915,0.20368202,0.13988823,0.23693681,0.22723043,0.15824522
T08,0.20333388,0.19033572,0.20433757,0.20058717,0.19789277,0.20816599,0.22381961,0.21895741,0.19550788,0.19988081,0.2073975,0.15589522,0.24979593,0.18018922,0.1856069
T09,0.18297237,0.1705648,0.24249715,0.21376774,0.19758904,0.22073558,0.23568122,0.19986789,0.23097083,0.22634009,0.19683802,0.15346932,0.22305587,0.20804651,0.14716616
T10,0.17382768,0.18444598,0.22056459,0.19500563,0.18124953,0.19916576,0.19730048,0.20966098,0.19085614,0.21306705,0.19050674,0.13611418,0.22642802,0.19448693,0.14794496
